,Brands,Title,price,Main_Price,Percent_Price_Reduction_in_%,Ratings,Number_of_Reviewer
0,Samsung,Samsung Galaxy A12,79990,83898,5,4.4,514
1,UMIDIGI,UMIDIGI A9 Pro Inf,54455,109347,0.5,4.3,515
2,Itel,"Itel A33 Plus 5.0""",27130,34000,20,3.9,75
3,Blackview,Blackview FS-Andro,34445,56453,39,3.7,168
4,UMIDIGI,UMIDIGI A11 Pro Ma,91775,170951,46,4.5,105
5,QUBO,QUBO Big1 - 4500mA,29660,53031,44,3.7,860
6,Tecno,Tecno POVA Neo (LE,71410,95000,25,4.8,20
7,XIAOMI,XIAOMI Redmi 9A 6.,49420,62000,20,4.4,79
8,Oppo,Oppo A83 64GB + 4G,35410,59999,41,4,33
9,Samsung,Samsung Galaxy A03,56000,59999,41,4.4,5
10,Tecno,Tecno Camon 18i (C,87000,100000,13,4.5,31
11,Tecno,Tecno POP 5 Go (BD,37400,40000,7,4,71
12,Samsung,Samsung Galaxy A12,86000,100000,14,4,71
13,Gionee,"Gionee M12, 6.55-I",76180,88500,14,4.2,251
14,UMIDIGI,"UMIDIGI A11 (3GB,6",57325,112771,49,4.2,56
15,Tecno,"Tecno T201, 1.77"" ",5940,112771,49,4.6,5
16,XIAOMI,XIAOMI XIAOMI Redm,50710,53657,5,5,5
17,UMIDIGI,UMIDIGI A11 Pro Ma,95900,170951,44,4.4,93
18,Tecno,Tecno Spark 7 (PR6,59990,65000,8,4.1,59
19,UMIDIGI,UMIDIGI A11S 4GB R,57900,98900,41,4.1,5
20,QUBO,"QUBO X668- 6.53"" H",52625,92390,43,4,121
21,Samsung,Samsung Galaxy A12,79000,92390,43,4.5,266
22,Itel,Itel 2173 Facebook,6480,78011,17,4.3,163
23,UMIDIGI,"UMIDIGI A11 (4GB,1",69900,115000,39,4.3,112
24,Samsung,Samsung Galaxy A12,79000,110000,28,4.3,112
25,Gionee,Gionee S11 Lite 5.,28990,42890,32,4.3,112
26,Tecno,"Tecno Pop 5 Go, 5.",38990,42890,32,4.6,5
27,Samsung,Samsung Galaxy A03,47000,60000,22,4.6,5
28,Gionee,"Gionee M12, 6.55-I",77100,88500,13,4.3,239
29,Tecno,Tecno Spark 7 (KF6,68500,78000,12,4.7,20
30,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,105
31,UMIDIGI,"UMIDIGI A11 (4GB,1",66895,129882,48,4.1,115
32,Infinix,Infinix Smart 5 (X,53100,58000,8,4.1,47
33,UMIDIGI,UMIDIGI A11 Pro Ma,85900,153839,44,4.3,54
34,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,101
35,Samsung,Samsung Galaxy A12,92490,99902,7,4.4,155
36,Nokia,"Nokia 150 2.4"" Dua",16990,25990,35,4.3,107
37,XIAOMI,XIAOMI Redmi Note ,129700,170000,24,4.7,5
38,UMIDIGI,UMIDIGI Power 5 (4,69900,129882,46,4.1,38
39,Gionee,Gionee S10 LITE 4G,30800,52022,41,3.9,16
40,Imose,Imose Padi+,7500,52022,41,5,5
41,Imose,Imose Waka Is,7500,52022,41,5,5
42,Imose,Imose Sabi II Dual,8500,52022,41,5,5
43,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
44,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
45,Imose,Imose Sabi 1 Dual ,5500,12398,15,4,20
46,Huawei,Huawei GSM SIM Car,12000,20000,40,4,20
47,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
48,Samsung,Samsung Galaxy A12,79990,83898,5,4.4,514
49,UMIDIGI,UMIDIGI A9 Pro Inf,54455,109347,50,4.3,515
50,Blackview,Blackview FS-Andro,34445,56453,39,3.7,168
51,Itel,"Itel A33 Plus 5.0""",27130,34000,20,3.9,75
52,UMIDIGI,UMIDIGI A11 Pro Ma,91775,170951,46,4.5,105
53,QUBO,QUBO Big1 - 4500mA,29660,53031,44,3.7,860
54,Tecno,Tecno POVA Neo (LE,71410,95000,25,4.8,20
55,XIAOMI,XIAOMI Redmi 9A 6.,49420,62000,20,4.4,79
56,Oppo,Oppo A83 64GB + 4G,35410,59999,41,4,33
57,Samsung,Samsung Galaxy A03,56000,59999,41,4.4,5
58,Tecno,Tecno Camon 18i (C,87000,100000,13,4.5,31
59,Gionee,"Gionee M12, 6.55-I",76180,88500,14,4.2,251
60,Tecno,Tecno POP 5 Go (BD,37400,40000,7,4,71
61,Samsung,Samsung Galaxy A12,86000,100000,14,4,71
62,UMIDIGI,"UMIDIGI A11 (3GB,6",57325,112771,49,4.2,56
63,Tecno,"Tecno T201, 1.77"" ",5940,112771,49,4.6,5
64,UMIDIGI,UMIDIGI A11 Pro Ma,95900,170951,44,4.4,93
65,XIAOMI,XIAOMI XIAOMI Redm,50710,53657,5,5,5
66,UMIDIGI,UMIDIGI A11S 4GB R,57900,98900,41,4.1,5
67,Tecno,Tecno Spark 7 (PR6,59990,65000,8,4.1,59
68,QUBO,"QUBO X668- 6.53"" H",52625,92390,43,4,121
69,Samsung,Samsung Galaxy A12,79000,92390,43,4.5,266
70,Itel,Itel 2173 Facebook,6480,78011,17,4.3,163
71,UMIDIGI,"UMIDIGI A11 (4GB,1",69900,115000,39,4.3,112
72,Samsung,Samsung Galaxy A12,79000,110000,28,4.3,112
73,Gionee,Gionee S11 Lite 5.,28990,42890,32,4.3,112
74,Samsung,Samsung Galaxy A03,47000,60000,22,4.3,112
75,Tecno,"Tecno Pop 5 Go, 5.",38990,60000,22,4.6,5
76,Gionee,"Gionee M12, 6.55-I",77100,88500,13,4.3,239
77,Tecno,Tecno Spark 7 (KF6,68500,78000,12,4.7,20
78,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,105
79,Infinix,Infinix Smart 5 (X,53100,58000,8,4.1,47
80,UMIDIGI,"UMIDIGI A11 (4GB,1",66895,129882,48,4.1,115
81,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,101
82,UMIDIGI,UMIDIGI A11 Pro Ma,85900,153839,44,4.3,54
83,Samsung,Samsung Galaxy A12,92490,99902,7,4.4,155
84,Nokia,"Nokia 150 2.4"" Dua",16990,25990,35,4.3,107
85,XIAOMI,XIAOMI Redmi Note ,129700,170000,24,4.7,5
86,UMIDIGI,UMIDIGI Power 5 (4,69900,129882,46,4.1,38
87,Imose,Imose Padi+,7500,129882,46,5,5
88,Gionee,Gionee S10 LITE 4G,30800,52022,41,3.9,16
89,Imose,Imose Waka Is,7500,52022,41,3.9,16
90,Imose,Imose Sabi II Dual,8500,52022,41,3.9,16
91,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
92,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
93,Imose,Imose Sabi 1 Dual ,5500,12398,15,4,20
94,Huawei,Huawei GSM SIM Car,12000,20000,40,4,20
95,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
96,Samsung,Samsung Galaxy A12,79990,83898,5,4.4,514
97,UMIDIGI,UMIDIGI A9 Pro Inf,54455,109347,50,4.3,515
98,Blackview,Blackview FS-Andro,34445,56453,39,3.7,168
99,Itel,"Itel A33 Plus 5.0""",27130,34000,20,3.9,75
100,UMIDIGI,UMIDIGI A11 Pro Ma,91775,170951,46,4.5,105
101,QUBO,QUBO Big1 - 4500mA,29660,53031,44,3.7,860
102,Tecno,Tecno POVA Neo (LE,71410,95000,25,4.8,20
103,Oppo,Oppo A83 64GB + 4G,35410,59999,41,4,33
104,Samsung,Samsung Galaxy A03,56000,59999,41,4.4,5
105,XIAOMI,XIAOMI Redmi 9A 6.,49420,62000,20,4.4,79
106,Tecno,Tecno Camon 18i (C,87000,100000,13,4.5,31
107,Gionee,"Gionee M12, 6.55-I",76180,88500,14,4.2,251
108,Tecno,Tecno POP 5 Go (BD,37400,40000,7,4,71
109,Samsung,Samsung Galaxy A12,86000,100000,14,4,71
110,UMIDIGI,"UMIDIGI A11 (3GB,6",57325,112771,49,4.2,56
111,Tecno,"Tecno T201, 1.77"" ",5940,112771,49,4.6,5
112,UMIDIGI,UMIDIGI A11 Pro Ma,95900,170951,44,4.4,93
113,XIAOMI,XIAOMI XIAOMI Redm,50710,53657,5,5,5
114,UMIDIGI,UMIDIGI A11S 4GB R,57900,98900,41,4.1,5
115,Tecno,Tecno Spark 7 (PR6,59990,65000,8,4.1,59
116,QUBO,"QUBO X668- 6.53"" H",52625,92390,43,4,121
117,Samsung,Samsung Galaxy A12,79000,92390,43,4.5,266
118,Itel,Itel 2173 Facebook,6480,78011,17,4.3,163
119,UMIDIGI,"UMIDIGI A11 (4GB,1",69900,115000,39,4.3,112
120,Samsung,Samsung Galaxy A12,79000,110000,28,4.3,112
121,Gionee,Gionee S11 Lite 5.,28990,42890,32,4.3,112
122,Samsung,Samsung Galaxy A03,47000,60000,22,4.3,112
123,Tecno,"Tecno Pop 5 Go, 5.",38990,60000,22,4.6,5
124,Gionee,"Gionee M12, 6.55-I",77100,88500,13,4.3,239
125,Tecno,Tecno Spark 7 (KF6,68500,78000,12,4.7,20
126,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,105
127,UMIDIGI,"UMIDIGI A11 (4GB,1",66895,129882,48,4.1,115
128,Infinix,Infinix Smart 5 (X,53100,58000,8,4.1,47
129,UMIDIGI,UMIDIGI A11 Pro Ma,85900,153839,44,4.3,54
130,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,101
131,Samsung,Samsung Galaxy A12,92490,99902,7,4.4,155
132,Nokia,"Nokia 150 2.4"" Dua",16990,25990,35,4.3,107
133,XIAOMI,XIAOMI Redmi Note ,129700,170000,24,4.7,5
134,UMIDIGI,UMIDIGI Power 5 (4,69900,129882,46,4.1,38
135,Gionee,Gionee S10 LITE 4G,30800,52022,41,3.9,16
136,Imose,Imose Padi+,7500,52022,41,5,5
137,Imose,Imose Waka Is,7500,52022,41,5,5
138,Imose,Imose Sabi II Dual,8500,52022,41,5,5
139,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
140,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
141,Imose,Imose Sabi 1 Dual ,5500,12398,15,4,20
142,Huawei,Huawei GSM SIM Car,12000,20000,40,4,20
143,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
144,Samsung,Samsung Galaxy A12,79990,83898,5,4.4,514
145,Blackview,Blackview FS-Andro,34445,56453,39,3.7,168
146,UMIDIGI,UMIDIGI A9 Pro Inf,54455,109347,50,4.3,515
147,Itel,"Itel A33 Plus 5.0""",27130,34000,20,3.9,75
148,UMIDIGI,UMIDIGI A11 Pro Ma,91775,170951,46,4.5,105
149,QUBO,QUBO Big1 - 4500mA,29660,53031,44,3.7,860
150,Tecno,Tecno POVA Neo (LE,71410,95000,25,4.8,20
151,XIAOMI,XIAOMI Redmi 9A 6.,49420,62000,20,4.4,79
152,Oppo,Oppo A83 64GB + 4G,35410,59999,41,4,33
153,Samsung,Samsung Galaxy A03,56000,59999,41,4.4,5
154,Tecno,Tecno Camon 18i (C,87000,100000,13,4.5,31
155,Gionee,"Gionee M12, 6.55-I",76180,88500,14,4.2,251
156,Tecno,Tecno POP 5 Go (BD,37400,40000,7,4,71
157,Samsung,Samsung Galaxy A12,86000,100000,14,4,71
158,UMIDIGI,"UMIDIGI A11 (3GB,6",57325,112771,49,4.2,56
159,Tecno,"Tecno T201, 1.77"" ",5940,112771,49,4.6,5
160,UMIDIGI,UMIDIGI A11 Pro Ma,95900,170951,44,4.4,93
161,XIAOMI,XIAOMI XIAOMI Redm,50710,53657,5,5,5
162,UMIDIGI,UMIDIGI A11S 4GB R,57900,98900,41,4.1,5
163,Tecno,Tecno Spark 7 (PR6,59990,65000,8,4.1,59
164,QUBO,"QUBO X668- 6.53"" H",52625,92390,43,4,121
165,Samsung,Samsung Galaxy A12,79000,92390,43,4.5,266
166,Itel,Itel 2173 Facebook,6480,78011,17,4.3,163
167,UMIDIGI,"UMIDIGI A11 (4GB,1",69900,115000,39,4.3,112
168,Samsung,Samsung Galaxy A12,79000,110000,28,4.3,112
169,Gionee,Gionee S11 Lite 5.,28990,42890,32,4.3,112
170,Samsung,Samsung Galaxy A03,47000,60000,22,4.3,112
171,Tecno,"Tecno Pop 5 Go, 5.",38990,60000,22,4.6,5
172,Gionee,"Gionee M12, 6.55-I",77100,88500,13,4.3,239
173,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,105
174,Tecno,Tecno Spark 7 (KF6,68500,78000,12,4.7,20
175,UMIDIGI,"UMIDIGI A11 (4GB,1",66895,129882,48,4.1,115
176,Infinix,Infinix Smart 5 (X,53100,58000,8,4.1,47
177,UMIDIGI,UMIDIGI A11 Pro Ma,85900,153839,44,4.3,54
178,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,101
179,Samsung,Samsung Galaxy A12,92490,99902,7,4.4,155
180,Nokia,"Nokia 150 2.4"" Dua",16990,25990,35,4.3,107
181,XIAOMI,XIAOMI Redmi Note ,129700,170000,24,4.7,5
182,UMIDIGI,UMIDIGI Power 5 (4,69900,129882,46,4.1,38
183,Gionee,Gionee S10 LITE 4G,30800,52022,41,3.9,16
184,Imose,Imose Padi+,7500,52022,41,5,5
185,Imose,Imose Sabi II Dual,8500,52022,41,5,5
186,Imose,Imose Waka Is,7500,52022,41,5,5
187,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
188,Imose,Imose Sabi 1 Dual ,5500,15200,22,4,248
189,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
190,Huawei,Huawei GSM SIM Car,12000,20000,40,4,20
191,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
192,Tecno,Tecno POP 5 (BD2P),46699,47100,1,4,63
193,Itel,Itel Itel A14 Plus,20600,25750,20,3.4,15
194,Tecno,Tecno POVA 2 (LE7),110990,150000,26,3.3,5
195,XIAOMI,XIAOMI Redmi 9A - ,49900,51500,3,4.7,22
196,Infinix,Infinix Note 11 Pr,138000,200000,31,3.7,5
197,UMIDIGI,UMIDIGI A11S 4GB R,57900,98900,41,3.3,5
198,Itel,"Itel A25 Pro 5.0"" ",35600,40000,11,4,16
199,Infinix,Infinix Smart HD 2,47950,50200,4,4.5,19
200,Infinix,Infinix Smart 5 (X,53100,57500,8,4.6,21
201,UMIDIGI,UMIDIGI BISON Pro ,85900,165818,48,4,26
202,Samsung,Samsung Galaxy A03,47900,60000,20,4.2,5
203,Tecno,Tecno CAMON 18 (CH,102000,103000,1,5,5
204,Samsung,Samsung Galaxy A03,49242,103000,1,5,5
205,Tecno,Tecno Camon 18i (C,90000,92000,2,4.3,5
206,Samsung,Samsung Galaxy A03,52140,92000,2,2.8,5
207,Samsung,Samsung Galaxy A12,89700,93628,4,4.7,11
208,Itel,Itel A25 Pro 32 GB,34300,42880,20,4.3,44
209,UMIDIGI,UMIDIGI A11S 4GB R,54900,102502,46,3.6,12
210,Infinix,Infinix Smart HD 2,47840,55000,13,4.3,94
211,Apple,Apple Refurbished ,58000,90000,36,5,5
212,Nokia,Nokia 2610 GSM Mob,4200,85005,51,5,5
213,Bontel,Bontel HONEY 1.54 ,8900,13500,34,4.2,26
214,XIAOMI,XIAOMI Redmi Note ,142990,170000,16,5,5
215,Tecno,Tecno POP 5 (BD2P),46699,47000,1,4.2,28
216,Tecno,Tecno POVA NEO (LE,72500,74000,2,5,5
217,Tecno,Tecno Pop5 Go(BD1),35500,48000,26,4.7,5
218,Oppo,Oppo A83 64GB + 4G,36999,60000,38,4.1,20
219,Tecno,Tecno Spark 7 (PR6,59990,65000,8,4.3,18
220,Itel,Itel A37 - 5.7'' H,30290,37870,20,3.9,46
221,UMIDIGI,UMIDIGI Power 5 (4,69900,129882,46,3.9,36
222,Tecno,Tecno Spark 7 (KF6,68500,78000,12,4.3,5
223,Infinix,Infinix Note 11i -,89900,78000,12,5,5
224,Nokia,"Nokia 110 1.77"" Du",11590,15000,23,4.3,139
225,Tecno,"Tecno Spark 8P, 6.",88430,15000,23,4.3,139
226,Nokia,Nokia 215 ASHA 2.4,8500,23800,64,3.7,5
227,UMIDIGI,"UMIDIGI A11 (3GB,6",59900,112771,47,4.2,33
228,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
229,Itel,Itel It2160 Wirele,5999,90003,33,4.3,45
230,Apple,Apple Renewed  -  ,196000,641300,69,4.3,45
231,Bontel,Bontel A225 1.77 I,6400,95003,33,4.3,58
232,Imose,Imose Waka Is,7500,95003,33,4.3,58
233,Imose,Imose Padi+,7500,95003,33,5,5
234,Imose,Imose Sabi 1 Dual ,5500,95003,33,5,5
235,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
236,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
237,Huawei,Huawei GSM SIM Car,12000,20000,40,3.9,39
238,Imose,Imose Sabi II Dual,8500,20000,40,3.9,39
239,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
240,Tecno,Tecno POP 5 (BD2P),46699,47100,1,4,63
241,Itel,Itel Itel A14 Plus,20600,25750,20,3.4,15
242,Tecno,Tecno POVA 2 (LE7),110990,150000,26,3.3,5
243,XIAOMI,XIAOMI Redmi 9A - ,49900,51500,3,4.7,22
244,Infinix,Infinix Note 11 Pr,138000,200000,31,3.7,5
245,UMIDIGI,UMIDIGI A11S 4GB R,57900,98900,41,3.3,5
246,Infinix,Infinix Smart HD 2,47950,50200,4,4.5,19
247,Itel,"Itel A25 Pro 5.0"" ",35600,40000,11,4,16
248,UMIDIGI,UMIDIGI BISON Pro ,85900,165818,48,4,26
249,Infinix,Infinix Smart 5 (X,53100,57500,8,4.6,21
250,Samsung,Samsung Galaxy A03,47900,60000,20,4.2,5
251,Tecno,Tecno CAMON 18 (CH,102000,103000,1,5,5
252,Tecno,Tecno Camon 18i (C,90000,92000,2,4.3,5
253,Samsung,Samsung Galaxy A03,49242,92000,2,5,5
254,Samsung,Samsung Galaxy A03,52140,92000,2,2.8,5
255,Itel,Itel A25 Pro 32 GB,34300,42880,20,4.3,44
256,Samsung,Samsung Galaxy A12,89700,93628,4,4.7,11
257,UMIDIGI,UMIDIGI A11S 4GB R,54900,102502,46,3.6,12
258,Infinix,Infinix Smart HD 2,47840,55000,13,4.3,94
259,Apple,Apple Refurbished ,58000,90000,36,5,5
260,Nokia,Nokia 2610 GSM Mob,4200,85005,51,5,5
261,Bontel,Bontel HONEY 1.54 ,8900,13500,34,4.2,26
262,Tecno,Tecno POP 5 (BD2P),46699,47000,1,4.2,28
263,XIAOMI,XIAOMI Redmi Note ,142990,170000,16,5,5
264,Tecno,Tecno POVA NEO (LE,72500,74000,2,5,5
265,Oppo,Oppo A83 64GB + 4G,36999,60000,38,4.1,20
266,Tecno,Tecno Pop5 Go(BD1),35500,48000,26,4.7,5
267,Tecno,Tecno Spark 7 (PR6,59990,65000,8,4.3,18
268,Itel,Itel A37 - 5.7'' H,30290,37870,20,3.9,46
269,Tecno,Tecno Spark 7 (KF6,68500,78000,12,4.3,5
270,UMIDIGI,UMIDIGI Power 5 (4,69900,129882,46,3.9,36
271,Infinix,Infinix Note 11i -,89900,129882,46,5,5
272,Nokia,"Nokia 110 1.77"" Du",11590,15000,23,4.3,139
273,Tecno,"Tecno Spark 8P, 6.",88430,15000,23,4.3,139
274,Nokia,Nokia 215 ASHA 2.4,8500,23800,64,3.7,5
275,UMIDIGI,"UMIDIGI A11 (3GB,6",59900,112771,47,4.2,33
276,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
277,Itel,Itel It2160 Wirele,5999,90003,33,4.3,45
278,Bontel,Bontel A225 1.77 I,6400,95003,33,4.3,58
279,Apple,Apple Renewed  -  ,196000,641300,69,4.3,58
280,Imose,Imose Waka Is,7500,641300,69,4.3,58
281,Imose,Imose Padi+,7500,641300,69,5,5
282,Imose,Imose Sabi 1 Dual ,5500,641300,69,5,5
283,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
284,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
285,Huawei,Huawei GSM SIM Car,12000,20000,40,3.9,39
286,Imose,Imose Sabi II Dual,8500,20000,40,3.9,39
287,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
288,Tecno,Tecno POP 5 (BD2P),46699,47100,1,4,63
289,Itel,Itel Itel A14 Plus,20600,25750,20,3.4,15
290,Tecno,Tecno POVA 2 (LE7),110990,150000,26,3.3,5
291,XIAOMI,XIAOMI Redmi 9A - ,49900,51500,3,4.7,22
292,UMIDIGI,UMIDIGI A11S 4GB R,57900,98900,41,3.3,5
293,Infinix,Infinix Note 11 Pr,138000,200000,31,3.7,5
294,Itel,"Itel A25 Pro 5.0"" ",35600,40000,11,4,16
295,Infinix,Infinix Smart HD 2,47950,50200,4,4.5,19
296,Infinix,Infinix Smart 5 (X,53100,57500,8,4.6,21
297,UMIDIGI,UMIDIGI BISON Pro ,85900,165818,48,4,26
298,Samsung,Samsung Galaxy A03,47900,60000,20,4.2,5
299,Tecno,Tecno CAMON 18 (CH,102000,103000,1,5,5
300,Tecno,Tecno Camon 18i (C,90000,92000,2,4.3,5
301,Samsung,Samsung Galaxy A03,49242,92000,2,5,5
302,Samsung,Samsung Galaxy A03,52140,92000,2,2.8,5
303,UMIDIGI,UMIDIGI A11S 4GB R,54900,102502,46,3.6,12
304,Infinix,Infinix Smart HD 2,47840,55000,13,4.3,94
305,Apple,Apple Refurbished ,58000,90000,36,5,5
306,Itel,Itel A25 Pro 32 GB,34300,42880,20,4.3,44
307,Samsung,Samsung Galaxy A12,89700,93628,4,4.7,11
308,Nokia,Nokia 2610 GSM Mob,4200,85005,51,4.7,11
309,Bontel,Bontel HONEY 1.54 ,8900,13500,34,4.2,26
310,XIAOMI,XIAOMI Redmi Note ,142990,170000,16,5,5
311,Oppo,Oppo A83 64GB + 4G,36999,60000,38,4.1,20
312,Tecno,Tecno POVA NEO (LE,72500,74000,2,5,5
313,Tecno,Tecno POP 5 (BD2P),46699,47000,1,4.2,28
314,Tecno,Tecno Pop5 Go(BD1),35500,48000,26,4.7,5
315,Tecno,Tecno Spark 7 (PR6,59990,65000,8,4.3,18
316,Itel,Itel A37 - 5.7'' H,30290,37870,20,3.9,46
317,UMIDIGI,UMIDIGI Power 5 (4,69900,129882,46,3.9,36
318,Tecno,"Tecno Spark 8P, 6.",88430,129882,46,3.9,36
319,Infinix,Infinix Note 11i -,89900,129882,46,5,5
320,Tecno,Tecno Spark 7 (KF6,68500,78000,12,4.3,5
321,Nokia,"Nokia 110 1.77"" Du",11590,15000,23,4.3,139
322,Nokia,Nokia 215 ASHA 2.4,8500,23800,64,3.7,5
323,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
324,UMIDIGI,"UMIDIGI A11 (3GB,6",59900,112771,47,4.2,33
325,Itel,Itel It2160 Wirele,5999,90003,33,4.3,45
326,Bontel,Bontel A225 1.77 I,6400,95003,33,4.3,58
327,Apple,Apple Renewed  -  ,196000,641300,69,4.3,58
328,Imose,Imose Waka Is,7500,641300,69,4.3,58
329,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
330,Imose,Imose Padi+,7500,13700,20,5,5
331,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
332,Imose,Imose Sabi 1 Dual ,5500,15200,22,4,248
333,Huawei,Huawei GSM SIM Car,12000,20000,40,4,248
334,Imose,Imose Sabi II Dual,8500,20000,40,4,248
335,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
336,Tecno,Tecno POP 5 (BD2P),46699,47100,1,4,63
337,Itel,Itel Itel A14 Plus,20600,25750,20,3.4,15
338,Tecno,Tecno POVA 2 (LE7),110990,150000,26,3.3,5
339,XIAOMI,XIAOMI Redmi 9A - ,49900,51500,3,4.7,22
340,Infinix,Infinix Note 11 Pr,138000,200000,31,3.7,5
341,UMIDIGI,UMIDIGI A11S 4GB R,57900,98900,41,3.3,5
342,Itel,"Itel A25 Pro 5.0"" ",35600,40000,11,4,16
343,Infinix,Infinix Smart HD 2,47950,50200,4,4.5,19
344,Infinix,Infinix Smart 5 (X,53100,57500,8,4.6,21
345,UMIDIGI,UMIDIGI BISON Pro ,85900,165818,48,4,26
346,Samsung,Samsung Galaxy A03,47900,60000,20,4.2,5
347,Tecno,Tecno CAMON 18 (CH,102000,103000,1,5,5
348,Tecno,Tecno Camon 18i (C,90000,92000,2,4.3,5
349,Samsung,Samsung Galaxy A03,49242,92000,2,5,5
350,Samsung,Samsung Galaxy A03,52140,92000,2,2.8,5
351,Samsung,Samsung Galaxy A12,89700,93628,4,4.7,11
352,Itel,Itel A25 Pro 32 GB,34300,42880,20,4.3,44
353,UMIDIGI,UMIDIGI A11S 4GB R,54900,102502,46,3.6,12
354,Infinix,Infinix Smart HD 2,47840,55000,13,4.3,94
355,Apple,Apple Refurbished ,58000,90000,36,5,5
356,Bontel,Bontel HONEY 1.54 ,8900,13500,34,4.2,26
357,Nokia,Nokia 2610 GSM Mob,4200,85005,51,4.2,26
358,XIAOMI,XIAOMI Redmi Note ,142990,170000,16,5,5
359,Tecno,Tecno POP 5 (BD2P),46699,47000,1,4.2,28
360,Tecno,Tecno POVA NEO (LE,72500,74000,2,5,5
361,Oppo,Oppo A83 64GB + 4G,36999,60000,38,4.1,20
362,Tecno,Tecno Pop5 Go(BD1),35500,48000,26,4.7,5
363,Tecno,Tecno Spark 7 (PR6,59990,65000,8,4.3,18
364,Itel,Itel A37 - 5.7'' H,30290,37870,20,3.9,46
365,UMIDIGI,UMIDIGI Power 5 (4,69900,129882,46,3.9,36
366,Tecno,Tecno Spark 7 (KF6,68500,78000,12,4.3,5
367,Infinix,Infinix Note 11i -,89900,78000,12,5,5
368,Nokia,"Nokia 110 1.77"" Du",11590,15000,23,4.3,139
369,Tecno,"Tecno Spark 8P, 6.",88430,15000,23,4.3,139
370,Nokia,Nokia 215 ASHA 2.4,8500,23800,64,3.7,5
371,UMIDIGI,"UMIDIGI A11 (3GB,6",59900,112771,47,4.2,33
372,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
373,Itel,Itel It2160 Wirele,5999,90003,33,4.3,45
374,Bontel,Bontel A225 1.77 I,6400,95003,33,4.3,58
375,Apple,Apple Renewed  -  ,196000,641300,69,4.3,58
376,Imose,Imose Waka Is,7500,641300,69,4.3,58
377,Imose,Imose Padi+,7500,641300,69,5,5
378,Imose,Imose Sabi 1 Dual ,5500,641300,69,5,5
379,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
380,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
381,Huawei,Huawei GSM SIM Car,12000,20000,40,3.9,39
382,Imose,Imose Sabi II Dual,8500,20000,40,3.9,39
383,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
384,Itel,"Itel A37 5.7"" HD+ ",30000,32491,8,4,19
385,UMIDIGI,UMIDIGI Power 5S 4,54900,99900,45,4.1,18
386,UMIDIGI,UMIDIGI Power 5S 4,54900,94900,42,4.7,5
387,Samsung,Samsung Galaxy A03,49700,52140,5,5,5
388,Itel,Itel A14 Plus 8GB ,27500,52140,5,4.4,5
389,Tecno,"Tecno Spark 7, 6.5",68750,52140,5,4.5,5
390,XIAOMI,"XIAOMI Redmi 9C, 6",82900,109000,24,4.7,5
391,Nokia,Nokia 105 (Africa ,8490,10000,15,4.5,5
392,Tecno,Tecno T301 Dual Si,6500,80001,19,4.3,60
393,Tecno,Tecno POP 5 Go (BD,37990,50000,24,3.8,12
394,Nokia,Nokia 1110 1110i G,5000,96084,48,3.7,35
395,UMIDIGI,UMIDIGI A9 Android,55900,95657,42,4.3,88
396,Oppo,Oppo A83 3GB RAM+ ,32599,56999,43,4.3,5
397,Nokia,"Nokia G20, 6.5"" HD",83990,94000,11,4.5,20
398,Itel,Itel A14 With FREE,16500,35200,53,3.7,85
